Details of Incentives and Financial Assistance extended to MSME units in Karnataka  as per Industrial Policy 2014-19,,,,,,,
118,BENGALURU URBAN,"M/s. Aura Enterprises,","# No. 65/2, 9th Cross, 4th Main Road, Kaveripura, Kamakshipalya, Bengaluru-560 079.",International Organization for Standardization," 75,000 ",2019-20,
119,BENGALURU URBAN,"M/s. Bright India Steel Industries, ","No: 280, 4th Main, !V Phase, Peenya Industrial Area, Bengaluru- 560 058.",International Organization for Standardization," 61,950 ",2019-20,
120,BENGALURU URBAN,"M/s. Genius Technologies, ","No. 29/1 &2, CML Industrial Layout, Chunchagatta Main Road, Jaraganahalli, Bangalore - 560 062",International Organization for Standardization," 56,190 ",2019-20,
121,BENGALURU URBAN,"M/s. Sri Kaustubha Packaging,","# 708/702, V.V. Ramu Estate, Bommasandra, Bengaluru 560 099.",International Organization for Standardization," 82,458 ",2019-20,
122,BENGALURU URBAN,"M/s. Enviro Serve Pvt. Ltd., ","# 15, Plot No. 9E, Chokkasandra, 2nd Phase, Peenya Industrial Area, Bengaluru - 560 058.",International Organization for Standardization," 60,400 ",2019-20,
123,BENGALURU RURAL,"M/s. Triumph Engineering,","#92/2B, Opp to Sai Enclave Gangaondanahalli, Lakshmipura Post, Dasanapura Hobli, Bengaluru- 562123.",International Organization for Standardization," 53,808 ",2019-20,
124,BENGALURU URBAN,"M/s. I.D. Prints,","#17, 9th Main Road, Prakashnagar, Bengaluru- 560 021.",International Organization for Standardization," 75,000 ",2019-20,
125,BENGALURU RURAL,"M/s. Sparconn Life Sciences, ","No. P-2, SW-51, D.I.T.P.L., KIADB Apparel Park Phase -2, Doddaballapura, Bangalore Rural -561 203.",International Organization for Standardization," 75,000 ",2019-20,
126,BENGALURU URBAN,"M/s. Merritt Innovative Solutions India. Pvt. Ltd., ","#277, 4th Main, 4th Phase, Peenya Industrial Area, Bangalore – 560058.
",International Organization for Standardization," 51,330 ",2019-20,
127,BENGALURU URBAN,"M/s. Kumaran Engineering Works, ","#14 A, Industrial Suburb, Tumkur Road, Yeshwanthpur, Bangalore-560 022.",International Organization for Standardization," 52,800 ",2019-20,
128,BENGALURU URBAN,"M/s. Flowmatics Pvt. Ltd.,","No: 18, Kempaiah Garden, Near BMTC 9th Dept., 4th Phase, Peenya Indl. Area, Bangalore- 560 058.",International Organization for Standardization," 56,950 ",2019-20,
129,BENGALURU URBAN,"M/s. Multitech Laser Engineering (India) Pvt. Ltd., ","Plot No. 111 & 112 3rd Phase, Peenya Industrial Area, Bangalore- 560058.",International Organization for Standardization," 43,985 ",2019-20,
130,BENGALURU URBAN,"M/s. Gemini Electro Corporation, ","No. 6& 13, (Souza Technologies Building) 1st Floor, 5th C Cross, 3rd Main Road, St. Claret College Road, Sharadambanagar, Jalahalli Village, Bangalore- 560 013                                   ",International Organization for Standardization," 67,490 ",2019-20,
131,BENGALURU URBAN,"M/s. Panacea Medical Technologies Pvt. Ltd.,","Plot #116, Shailendra Techno Park Pvt., 4th Floor, Road#3, EPIP Area, Phase-1, Whitefield, Bengaluru - 560 066.",International Organization for Standardization," 75,000 ",2019-20,
132,BENGALURU URBAN,"M/s. MLCNCTECH, ","No/ B-113, Industrial Estate, Rajajinagar, Bangalore- 560 010.",International Organization for Standardization," 75,000 ",2019-20,
133,BENGALURU URBAN,"M/s. M.M. Equipments, ","B-387, 1st Stage, Peenya Industrial Estate, Bangalore -560 058.                                                            ",International Organization for Standardization," 40,960 ",2020-21,
134,BENGALURU RURAL,"M/s. Rameshwari Vires Pvt. Ltd., ","Plot No. 8 C1 KIADB Industrial Area, Hoskote, Bangalore Rural-562114.                                                                   ",International Organization for Standardization," 25,875 ",2020-21,
135,BENGALURU URBAN,"M/s. Conweigh Industries Pvt. Ltd., ","#243, 6th Main, Rajeev Gandh Nagar, Nandini Layout, Bengaluru.",International Organization for Standardization," 58,410 ",2020-21,
136,BENGALURU URBAN,"Sri Rajalakshmi Commercial Kitchen Equipment Pvt. Ltd.,","No. 112D, Bommasandra Industrial Area, Anekal Taluk, Bangaluru- 560 099.",International Organization for Standardization," 75,000 ",2020-21,
137,BENGALURU URBAN,"M/s. Sri. Vigneshwara Technologies, ","# 49/1, Yarrappa Industrial Area, Magadi Road, Near BMTC Depot, Seegehalli, Bangaluru - 560 091.",International Organization for Standardization," 61,065 ",2020-21,
138,BENGALURU URBAN,"M/s. Vinayaka CNC,","#B-230, 5th Main Road,  2nd Stage, Peenya Industrial Estate, Bengaluru- 560 058.",International Organization for Standardization," 61,790 ",2020-21,
139,BENGALURU URBAN,"M/s. Shree Engineering,","# B-265, 6th Main Road, 2nd Stage, Peenya Industrial Area, Bengaluru- 560 058.",International Organization for Standardization," 44,250 ",2020-21,
140,DHARWAD,"M/s. Pratiksha Industries,","Plot No. 534-B, S. No.  349, Phase-II, KIADB Industrial Growth Centre, Belur, Dharwad- 580011.",International Organization for Standardization," 75,000 ",2020-21,
141,BENGALURU URBAN,"M/s. Anand Industries,","No. C-11, KSSIDC 2nd Stage, Jigani Link Road, 4th Phase, Bommasandra, Bengaluru- 560 099,",International Organization for Standardization," 54,870 ",2020-21,
142,BENGALURU URBAN,"M/s. OHM Sree Manikanta Electricals,","No. 23, Ranganatha Nilaya, 3rd A Cross, TIP Colony, Nelagadaranahalli, Nagasandra Post, Bengaluru- 560 073.
",International Organization for Standardization," 55,755 ",2020-21,
143,BENGALURU URBAN,"M/s. Karnataka Enterprises, ","No. 36, 1st Floor, 6th Main, JC Industrial Area, Bengaluru- 560 062.",International Organization for Standardization," 39,780 ",2020-21,
144,BENGALURU URBAN,"M/s. Accutech Laser Pvt. Ltd.,","No. 484/A1, 13th Cross, 4th Phase, Peenya Induatrial Area, Bengaluru- 58..",International Organization for Standardization," 59,295 ",2020-21,
145,BENGALURU URBAN,"M/s. Karthik Doors and Windows,","No. 5, 80 Feet Road, Padmanabha Nagar, Bangalore.
Basavanapura, Near NICE Road Junction, Banerghatta Road, Bangalore-83.",International Organization for Standardization," 62,325 ",2020-21,
146,TUMAKURU,"M/s. Allied Metallurgical Products Pvt. Ltd.,","No. 64, KSSIDC Industrial Area, Antharasanahalli, Tumakuru -572106.
",International Organization for Standardization," 75,000 ",2020-21,
147,KOLAR,"M/s. Aadyaa Tools,","Plot 222, Road No. 19, KIADB Narsapura Industrial Area, 1st Phase, Kolar - 563133.",International Organization for Standardization," 84,825 ",2020-21,
148,KOLAR,"M/s Aadyaa Surfa Tech,","Plot No. 194P, Road No. 19, Narasapura Industrial Area, Kolara- 563133",International Organization for Standardization," 84,825 ",2020-21,
149,BENGALURU URBAN,"M/s. Flui-Tec Instruments & Controls,","No. 95/90, Sowjanya, 2nd Floor, 19th Main, 1st N Block, Rajajinagar, Bangalore - 560 010.",International Organization for Standardization," 57,000 ",2020-21,
150,BENGALURU RURAL,"M/s. Trans Vahan Technologies India Pvt. Ltd., ","1No.  88/1, Basavanahalli Village, Kasaba Hobli, Nelamangala Taluk, Bangalore -562213.                                                                    ",International Organization for Standardization," 64,350 ",2020-21,
151,Belagavi,"M/s Mangesh Alloys,","Plot No. 56, Maache Industrial Estate, Machhe, Belgaum- 590014.",International Organization for Standardization," 62,835 ",2020-21,
152,TUMAKURU,"M/s. Sensarom Foods Pvt. Ltd.,","Plot No. 70, Road No. 21A, Vasanthanarasapura Industrial Area, 2nd Stage, Kora Hobli, Tumakuru.
ISO- 9001 : 2015",International Organization for Standardization," 65,499 ",2020-21,
153,BENGALURU URBAN,"M/s. Supra Technologies, ","No. B- 78, 2nd Cross, 1st Stage, Peenya Industrial Estate, Bangalore- 560058.                                                                      ",International Organization for Standardization," 57,112 ",2020-21,
154,TUMAKURU,"M/s. Vipra Shilpakendra,","kamakshi Temple Road, Hebbur- 572 120, Tumkur.",International Organization for Standardization," 75,000 ",2020-21,
155,Belagavi,"M/s. Creintors Environmental Solutions Pvt. Ltd., ","Plot No.-1, Survey No. 22/3, waghwade Road, Belgaum -590 018.",International Organization for Standardization," 46,168 ",2020-21,
156,Belagavi,"M/s. Creintors Automation Solutions Pvt. Ltd.,","Plot No.2, Survey No. 22/3, Waghwade Road, Waghwade, Belgavi - 590018.",International Organization for Standardization," 73,363 ",2020-21,
157,BENGALURU URBAN,"M/s. 3MS Industries,","No. 74/2A, 17th Cross, Srighandhanagara, Vishwaneedam Post, Krishnappa Industrial Estate, Hegganahalli, Bengaluru -560 091.",International Organization for Standardization," 65,490 ",2020-21,
158,BENGALURU URBAN,"M/s. Mangalam Creations,","No. 329/330, 1st Floor, 9th Cross, 4th Main, 4th Phase, 2nd Stage, Peenya Industrial Area, Bengalore- 560 058.",International Organization for Standardization," 50,466 ",2020-21,
159,BENGALURU URBAN,"M/s. Brisk Tech Engineers,","No: 03, 14th Cross, 2nd Main, Bhyraveshwara Industrial Estate, Peenya Industrial Area, Bengaluru -560 091.",International Organization for Standardization," 69,915 ",2020-21,
160,KOLAR,"M/s. Hadee Forgings  Private Limited, ","No. 47/48, Jakkasandra Industrial Area, Kasaba Hobli, Malur Tq, Kolara Dist.",International Organization for Standardization," 75,000 ",2020-21,
161,BENGALURU URBAN,"M/s. Flow Matics Pvt. Ltd., ","Sy. No. 130, Site No. 10, Kempaiah Garden, Near BMTC '9' Depot, 4th Phase, Peenya Industrial Area, Bengaluru -560058.",International Organization for Standardization," 75,000 ",2020-21,
162,BENGALURU URBAN,"M/s. Vichar Technology,","M14, 8th Cross, 1st Stage, Peenya Industrial Area, Bangalore- 560058",International Organization for Standardization," 39,471 ",2020-21,
,,,,,,,
II,Bureau of Indian Standards ,,,,,,
1,BENGALURU URBAN,"M/s. Solar Hitech Geysers, ","No. 4, Sri Krishna, Behind Bhimajyothi LIC Colony, West of Chord Road, Bangalore-79.",Bureau of Indian Standards ," 28,500 ",2015-16,
2,TUMAKURU,"M/s. Akashwin Beverages Pvt. Ltd., ","No. 7/3, Kattiganahalli, Village, Kora Hobli, Tumkur-572103.",Bureau of Indian Standards ," 20,000 ",2015-16,
3,DAKSHINA KANNADA,"M/s. Green Valley Food and Beverages , ","Alike (Post), Bantawala, Dakshina Kannada District.",Bureau of Indian Standards ," 21,700 ",2015-16,
4,TUMAKURU,"M/s. Kaivalya Home Products,  ","K S Agrahara, B.M. Road, Kunigal, Tumkur.",Bureau of Indian Standards ," 34,400 ",2015-16,
5,RAMANAGARA,"M/s. Balaji Enterprises, ","Site No. 4, Ward No. 27, Jigenahalli, Magadi Road, Ramanagara District.",Bureau of Indian Standards ," 32,500 ",2015-16,
6,SHIVAMOGGA,"M/s. Spoorthi Packaging Pvt. Ltd., ","Plot No. 30,31, Industrial Estate, Nidige, Shivamoga District.",Bureau of Indian Standards ," 20,000 ",2015-16,
7,Belagavi,M/s. Chandrakanth Beverages and ,"Minerals, Mamadapura Ginning Factory, Kencharakoppa, Savadathi, Belagavi District.",Bureau of Indian Standards ," 20,000 ",2015-16,
8,BENGALURU URBAN,"M/s. Purva Badhra Enterprises, ","No. 46, Katha No. 16, 17 & 18, 60 FT Road, JC Nagar, Bangalore-86.",Bureau of Indian Standards ," 35,750 ",2015-16,
9,BAGALKOTE,"M/s. Akshay Minerals & Food Products, ","Ward No. 16, Basava Nagara, Mudhol Tq, Bagalakote Dist.",Bureau of Indian Standards ," 35,000 ",2015-16,
10,BALLARI,"M/s. Heads Aqua Tech, ","D. No. 30(E), Ward No. 25/35, 3rd Cross, Ramnagar, Siruguppa Road, Ballary.",Bureau of Indian Standards ," 31,517 ",2016-17,
11,BALLARI,"M/s Lakshmi Narasimha Packaged Drinking Water, ","Plot No. 30, SRK Nagar, Sreedhara Village, Talur Road, Ballari.",Bureau of Indian Standards ," 46,112 ",2016-17,
12,BAGALKOTE,"M/s. Sadanand PVC Pvt. Ltd., ","Survey No. 19/3, Mudhol Road, Siddapura, Jamakhandi, Bagalakote.",Bureau of Indian Standards ," 36,768 ",2016-17,
13,BENGALURU URBAN,"M/s. S.L.V. Bevarages,","No. 22 Andrahalli, Vishwaneedam Post, Bangalore.",Bureau of Indian Standards ," 28,625 ",2016-17,
14,SHIVAMOGGA,"M/s. Yashuthsav Enterprises, ","Back of Yashasvi, Opp-TV Station, RMC Road, Sagar- 577401, Shivamogga.                                               ",Bureau of Indian Standards ," 55,930 ",2018-19,
15,VIJAYAPURA,"M/s. Shree Durga Veneers, ","Plot No. M-7, KSSIDC Station Back Road, Shikarkhana, Vijayapura -4",Bureau of Indian Standards ," 20,000 ",2020-21,
16,BIDAR,"M/s. Basava Minerals,","Sy. NO. 41/9 &41/10, Kotgira Cross, Village Ucha, Taluk, Bhalki- 585328, District, Bidar.",Bureau of Indian Standards ," 20,000 ",2020-21,
17,BIDAR,"M/s. Ganesh Packaged Drinking Water, ","Plot No.  16 'A' Near KIADB Office Kolhar -K, Bidar.",Bureau of Indian Standards ," 20,000 ",2020-21,
18,BIDAR,"M/s. New Aqua Pure, ","Plot No. 20-67, Near NH-9,Bypass Road, Humnabad, Bidar.",Bureau of Indian Standards ," 20,000 ",2020-21,
19,VIJAYAPURA,"M/s. Megha Mineral Water, ","Survey No. 2799, Plot No. 137, Nagur Layout, Sindagi, Vijayapura.",Bureau of Indian Standards ," 20,000 ",2020-21,
20,Belagavi,"M/s. AEP Products India Pvt. Ltd.,","Plot No. 82, Sy No. 658, Tiny Industrial Society, Udyambagh, Belagavi.",Bureau of Indian Standards ," 20,000 ",2020-21,
21,UDUPI,"M/s. Shri Mahaganapathi Industries,","Sy. No. 120/10, Batnamakki, Beloor Village, Kundapura Talu, Udupi-576221.",Bureau of Indian Standards ," 20,000 ",2020-21,
22,DAKSHINA KANNADA,"M/s. Sujal Industries,","No. 4-10(7), Sreematha, Perla Hosagudda, Kannur Village, Mangalore.
",Bureau of Indian Standards ," 20,000 ",2020-21,
23,HASSAN,"M/s.Agasthya Eco Industries Pvt. Ltd.,"," No. 29/A, T Block, 23 South, 3rd Cross, Vaikunta Street, Kote, Belur- 573115, Hasan.",Bureau of Indian Standards ," 20,000 ",2020-21,
24,Belagavi,"M/s Nuliking Enterprises,","No. 2149, 3rd Main, 1st Cross Sectior-9, MM Extn, Belagavi- 591113.",Bureau of Indian Standards ," 20,000 ",2020-21,
,,,,,,,
III,Aerospace 9100,,,,,,
1,BENGALURU URBAN,"M/s. Stein Seal Company (India) Pvt. Ltd., ","No. B-191, 5th Main Road, 2nd Stage, Peenya Industrial Area, Bengaluru- 560 058.                                                                 ",Aerospace 9100," 196,634 ",2018-19,
2,BENGALURU URBAN,"M/s. CIM Technologies,"," No. 13, 2nd Cross, Mahadeshwara Nagar Road, Herohalli Cross, Magadi Main Road, Bengaluru- 560 091                                                                                   ",Aerospace 9100," 159,430 ",2018-19,
3,BENGALURU URBAN,"M/s. Magnatech, ","D-103,  2nd Floor, Industrial Estate, Rajajinagar, Bangalore- 560 044.                                                                                                      ",Aerospace 9100," 150,229 ",2018-19,
4,BENGALURU URBAN,"M/s. Valdel Advanced Technologies Company Pvt. Ltd., ","MSR University Applied Science Campus, 
No. 470-P, 4th Phase, Peenya Industrial Area, Bengaluru -560 058",Aerospace 9100," 351,640 ",2019-20,
5,BENGALURU URBAN,"M/s. Mapsystem (India) Pvt. Ltd.,","No: 5/1, 12th Main, 3rd Phase, Peenya Industrial Area, Bengaluru -560 058.",Aerospace 9100," 123,540 ",2019-20,
6,BENGALURU URBAN,"M/s. Auto TEC Systems Pvt. Ltd., ","No. 177/6B, ""Ashraya ornate"" Bilekahalli, Bannerghatta Road, Bangaluru- 560 076",Aerospace 9100," 120,000 ",2019-20,
7,BENGALURU RURAL,"M/s Pranavam Aerospace Private Limited,"," Plot No. 110 & 111, SEZ Aerospace Park, Devanahalli, Bangalore- 562 110. ",Aerospace 9100," 253,876 ",2019-20,
8,BENGALURU URBAN,"M/s. Flyvi Technologies Pvt. Ltd., ","# 121/28, 1st Flor, 1st Main Road, Rajajinagar Industrial Town, Rajajinagar, Bengaluru- 560044.",Aerospace 9100," 154,243 ",2020-21,
9,BENGALURU URBAN,"M/s. Omega Engineers and Manufacturers, ","No. 105, Selvam Industrial Estate, Magadi Main Road, Bengaluru- 79",Aerospace 9100," 184,674 ",2020-21,
10,BENGALURU URBAN,"M/s. Accreate Additive Labs Pvt. Ltd.,","# 22, 1st Floor, Akshaya, 4th Main Road, Mahalakshmi Layout, Bangalore- 560 086. 

",Aerospace 9100," 89,680 ",2020-21,
11,BENGALURU URBAN,"M/s. Bangalore Valves Pvt. Ltd.,","No. 252(a), Peenya 2nd Stage, Bangalore- 560058.",Aerospace 9100," 97,980 ",2020-21,
12,BENGALURU URBAN,"M/s. B.K. Industrial Technology, ","Shed No. A-51, 2nd Main Road, Peenya 2nd Stage, Bangalore -560058.",Aerospace 9100," 99,710 ",2020-21,
13,BENGALURU URBAN,"M/s. S.L.N. Industries,","No. A-46/1, 2nd Main, 2nd Stage, Peenya Industrial Estate, Bengaluru-560058.",Aerospace 9100," 134,155 ",2020-21,
14,BENGALURU URBAN,"M/s. Seizo CNC Pvt. Ltd.,","No. 196, Basement, 4th D Main, Mahalakshmi Layout, Further Extension, Bangalore -560 086.",Aerospace 9100," 103,758 ",2020-21,
15,BENGALURU URBAN,"M/s. Apsis Latitude,","Sy. No. 79, Site No. 5, Boralingappa Garden, 1st Main, Govt. College Road, Peenya New Ext. Bengaluru - 560 058.",Aerospace 9100," 136,651 ",2020-21,
,,,,,,,
IV,Rainwater Harvesting ,,,,,,
1,RAMANAGARA,"M/s. Sea Shell Plastics,","SPL-2, Phase -1, 1st Main, KSSIDC Industrial Estate, Kanakapura, Ramanagara. ",Rainwater Harvesting ," 100,000 ",2016-17,
2,BENGALURU URBAN,"M/s. Sri Sai Packaging Industy,","No. 119, 12th A main Road, BTM 1st Stage, Bangalore -29.",Rainwater Harvesting ," 100,000 ",2016-17,
3,KOLAR,"M/s. Koeleman India Pvt. Ltd., ","Sy. No. 38, New NH 75, Bypass Road, Narasapura Post, Kolar",Rainwater Harvesting ," 100,000 ",2016-17,
4,KOLAR,"M/s. R.R. Precision (India) Pvt. Ltd., ","Nol 25/1, Tamaka Industrial Area, Kolar- 563 101.                                                    ",Rainwater Harvesting ," 100,000 ",2020-21,
5,CHAMARAJANAGARA,"M/s. Biligiri Granites Pvt. Ltd., ","Sy. No. 428/2, 9th KM, Mysore Road, Badanguppe Village, Chamarajanagara -571 313.
",Rainwater Harvesting ," 100,000 ",2020-21,
6,CHAMARAJANAGARA,"M/s. B.G. Granites,","Sy. No. 430/3, 9th KM, Mysore Road, Badanguppe Village, Chamarajanagara -571 313.
",Rainwater Harvesting ," 100,000 ",2020-21,
,,,,,,,
V,Technology Adoption,,,,,,
1,BENGALURU URBAN,"M/s. Tech Source Solutions, ","No. 163, Rajeshwari Complex, 2nd Floor, R.V. Road, Near Minerva Circle, Bangalore -560 004.",Technology Adoption," 28,500 ",2016-17,
,,,,,,,
VI,Waste water  Recycling,,,,,,
1,SHIVAMOGGA,"M/s Santhosh Enterprises , ","NH 206, Railway station road, Anandapuram,Ssgara Tq, Shivamogga Dist - 577412          ",Waste water  Recycling," 500,000 ",2017-18,
2,DAKSHINA KANNADA,"M/s. Manjunath Foods & Packaging Pvt. Ltd., ","Plot No. 33, Karnad Industrial Area, Mulki, Mangalore- 574154.                                ",Waste water  Recycling," 500,000 ",2018-19,
3,UDUPI,"M/s. Hanuman Rice Mill, ","NH- 66, Thekkatte,  Kundapura taluk, Udupi Dist. 
",Waste water  Recycling," 500,000 ",2019-20,
,,,,,,,
VII,Energy Conservation,,,,,,
1,RAMANAGARA,"M/s. Spectra Tools, ","No. 127, 1st Stage, KIADB Industrial Area, Harohalli, Kanakapura Tq, Ramanagara Dist",Energy Conservation," 94,000 ",2016-17,
2,BENGALURU URBAN,"M/s. Nammane Industries, ","No. 505, ""Bhakshi"", BSK 1st Stage, 2nd Block, Kariyanapalya, R.R. Nagar, Bangalore -560098.",Energy Conservation," 110,907 ",2016-17,
3,BENGALURU RURAL,"M/s Sharavati Conductors Pvt Ltd,  ","KIADB Industrila Area, Chokkahalli,Hoskote, Bangalore Rural District.                                ",Energy Conservation," 500,000 ",2017-18,
4,UDUPI,"M/s. Saraswathi Pipe Industries, ","Shree Sukratheendra Kripa Halady Road, Koteshwar -576222, Udupi.
",Energy Conservation," 322,000 ",2018-19,
5,SHIVAMOGGA,"M/s. S.L.R. Industries, ","No. 2C, Kallur Mandli Industrial Estate, Shivamogga -577202.
",Energy Conservation," 97,500 ",2018-19,
6,UDUPI,"M/s. Tenguraja Coco Products,"," Kuntalpady, Post Sanoor- 574114, Karkala, Udupi Dist.
",Energy Conservation," 558,000 ",2020-21,
7,UDUPI,"M/s. Allen Industries, Kuntalpady, ","Post Sanoor - 574114, Karkala, Udupi Dist.",Energy Conservation," 288,000 ",2020-21,
,,,,,,,
VIII,We-Connect,,,,,,
1,BENGALURU URBAN,"M/s. Gradus Energy Solutions Pvt. Ltd.,","No. 10/C, Sameerana, 2nd Main, 7th Cross, Akshayanagar, Begurhobli, Bangalore- 560 068.
",We-Connect," 23,957 ",2020-21,
,,,,,,,
IX,Technology Business Incubation Center,,,,,,
1,BENGALURU URBAN,"M/s. SJB Institute of Technology, ","No: 67, BGS Health & Education City, Dr. Vishnuvardhan Road, Kengeri, Bangalore-560 060.",WTBI,74.020,2018 -19,
2,BENGALURU URBAN,"M/s. Don Bosco Institute of Technology, ","Kumbalagodu, Mysore Road, Bengaluru-560 074",TBI,43.210,2018 -19,
3,BENGALURU URBAN,"M/s Reva University, Bengaluru  ","Rukmini Knowledge Pard, Kattigenahalli, Yelahanka, Bangalore- 560 064.",WTBI,55.000,2018 -19,
,,,,,,,
X,Research and Development Center,,,,,,
1,BALLARI,"M/s. Ballari Institute of Technology & Management,","No. 873, Jnana Gangotri' Campus- 2, Hospet Rd, Near ALLIPUR, Ballari - 583104",Research and Development Center," 4,975,000 ",2014-15,
2,UDUPI,"M/s. Sri Madhwa  Vadhiraja Institute of Technology,","Vishwothmanagar, Bantakal, Udupi District-574115",Research and Development Center," 2,900,000 ",2014-15,
3,TUMAKURU,"M/s. Shri. Sidhartha Institute of Technology STEP - SSIT, ","Tumkur-Kunigal Rd, Saraswathipuram, Maralur,  Tumakuru - 572105",Research and Development Center," 1,572,000 ",2014-15,
4,MANDYA,"M/s. PES College of Engineering,  ","Mysore Road, Mandya -571 401.",Research and Development Center," 2,900,000 ",2014-15,
5,CHIKKABALLAPURA,"M/s.Visvesvaraya Technological University, ","CPGS,  Bangalore Region, Muddenahalli, Chickballapura -562101.",Research and Development Center," 3,000,000 ",2014-15,
6,MYSURU,"M/s. The National Institute of Engineering, ","Manandavadi Road, Vidyaranyapura,
Mysore-570 008.",Research and Development Center," 5,000,000 ",2014-15,
7,TUMAKURU,"M/s. Siddaganga Institute of Technology, ","Bengaluru - Honnavar Rd, Chandana Complex, Tumakuru- 572103",Research and Development Center," 3,800,000 ",2014-15,
8,MYSURU,"M/s. Sri Jayachamarajendra College of Engineering-Science & Technology Entrepreneurs Park (SJCE-STEP), ","JSS Technical Institutons Campus, Manasa Gangothri, Mysore – 570 006,",Research and Development Center," 5,000,000 ",2014-15,
9,MYSURU,"M/s. Vidyavardhaka college of Engineering, ","P.B.No.206, Gokulam 3rd Stage, Mysore-570002. ",Research and Development Center," 3,300,000 ",2014-15,
10,CHIKKAMAGALURU,"M/s. Adichunchanagiri Institute of Technology,"," P.B.No. 91, Adichunchanagiri Extension,  Jyothinagar,KM Road,Chickmagaluru-577102, ",Research and Development Center," 3,400,000 ",2014-15,
11,CHIKKABALLAPURA,M/s. Sri Jagadguru Chandrashekarantha Swamiji Intitute of Technology (SJCIT). ,"P.B. No.20, B.B Road, Chickballapura – 562 101,",Research and Development Center," 5,000,000 ",2015-16,
12,BENGALURU URBAN,"M/s. Additive Manufacturing Society of India (AMSI),"," # 42, BSK 3rd Stage, 3rd Block, 3rd Face, 9th Cross, Bangalore-560 085. ",Research and Development Center," 4,000,000 ",2015-16,
13,BENGALURU URBAN,"M/s. Centre for Incubation, Innovation, Research & Consultancy","Jyothy Institute of Technology
Thataguni, Off Kanakapura Road
Bangalore - 560082.",Research and Development Center," 5,000,000 ",2015-16,
14,BENGALURU URBAN,"M/s PES University, ","100 Feet Ring Road, Banashankari 3rd stage, Bangalore-560 085. ",Research and Development Center," 2,500,000 ",2015-16,
15,BENGALURU URBAN,"M/s Ramaiah University of Applied sciences ,"," Vidya Soudha, M.S. Ramaiah Nagar, MSRIT Post, Bangalore -560 054.",Research and Development Center," 5,000,000 ",2015-16,
16,TUMAKURU,"M/s Siddaganga Institute of Technology, ","Bengaluru - Honnavar Rd, Chandana Complex, Tumakuru- 572103",Research and Development Center," 5,000,000 ",2015-16,
17,TUMAKURU,"M/s. Siddaganga Institute of Technology,","Bengaluru - Honnavar Rd, Chandana Complex, Tumakuru- 572103",Research and Development Center," 5,000,000 ",2015-16,
18,TUMAKURU,"M/s. Shri. Sidhartha Institute of Technology,","Tumkur-Kunigal Rd, Saraswathipuram, Maralur,  Tumakuru - 572105",Research and Development Center," 2,690,000 ",2015-16,
19,TUMAKURU,"M/s. Shri. Sidhartha Institute of Technology,","Tumkur-Kunigal Rd, Saraswathipuram, Maralur,  Tumakuru - 572105",Research and Development Center," 2,105,000 ",2015-16,
20,BELAGAVI,"M/s. KLS GOGTE INSTITUTE OF TECHNOLOGY,","""JNANA GANGA"", KHANAPUR ROAD,
UDYAMBAG, BELAGAVI-08,",Research and Development Center," 2,675,000 ",2017-18,
21,BENGALURU URBAN,"M/s Ramaiah University of Applied sciences , ","Vidya Soudha, M.S. Ramaiah Nagar, MSRIT Post, Bangalore -560 054.",Research and Development Center," 4,325,000 ",2017-18,
22,BENGALURU URBAN,"M/s Ramaiah University of Applied sciences , ","Vidya Soudha, M.S. Ramaiah Nagar, MSRIT Post, Bangalore -560 054.",Research and Development Center," 4,542,000 ",2017-18,
23,UTTARA KANNADA,"M/s. KLS’s Vishwanatharao Deshapande Rural Institute of Technology, ","Udyoga Vidya Nagar, Dandeli road,  Haliyal-581329,  Uttar Kannada   ",Research and Development Center," 2,278,000 ",2017-18,
24,BENGALURU URBAN,"M/s. RV College of Engineering,  ","R V  Vidyaniketan Post, Mysore Road, 
Bangalore – 560059.",Research and Development Center," 2,750,000 ",2017-18,
25,UDUPI,"M/s. NMAM Institute of Technology,"," NITTE-574110, SH1, Karkala, Udupi Dist, ",Research and Development Center," 3,864,000 ",2017-18,
26,BENGALURU URBAN,"M/s. Centre for Incubation, Innovation, Research and Consultancy (CIIRC), ","Jyothy Institute of Technology
Thataguni, Off Kanakapura Road
Bangalore - 560082.",Research and Development Center," 5,000,000 ",2017-18,
27,DAKSHINA KANNADA,"M/s Sahyadri College of Engineering & Management, ","Sahyadri Campus, Adyar,  Mangalore -575007",Research and Development Center," 5,000,000 ",2018-19,
28,UDUPI,"M/s NMAM Institute of Technology,"," NITTE- 574110,  SH1, Karkala Taluk, Udupi. ",Research and Development Center," 2,318,000 ",2018-19,
29,BENGALURU URBAN,"M/s. Centre for Incubation, Innovation, Research and Consultancy (CIIRC),","Jyothy Institute of Technology
Thataguni, Off Kanakapura Road
Bangalore - 560082.",Research and Development Center," 2,900,000 ",2018-19,
30,DAKSHINA KANNADA,"M/s. Mangalore Institute of Technology and Engineering, ","Badaga Mijar, Solapur -Mangalore Highway, Near Moodabidre, Mangalore-  574225",Research and Development Center," 2,100,000 ",2018-19,
31,BENGALURU URBAN,"M/s. Don Bosco Institute of Technology, ","Kumbalagodu, Mysore Road, Bengaluru",Research and Development Center," 3,960,000 ",2018-19,
32,BENGALURU URBAN,"M/s. REVA University,"," Rukmini Knowledge Park, Kattigenahalli, Yelahanka, Bangalore.",Research and Development Center," 3,784,000 ",2018-19,
